Species,Subspecies,Preliminary,Collector,Colnumber,Herbarium,Group,Country,Area,Status,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Stemlength,Stemdiameter,Petiole,Rachislen,Numpin,Pinlength,Pinwidth,Apjoin,Stinflolen,Straclen,Pisinflolen,Psraclen,Fruitlen,Fruitdiam,Solclu,Climbs,Sheath,Mottle,Dactyl,Elasti,Latifo,Hetera,Unifar,Dasyac,Discol,Phispi,Bulbou,Swelli,Gracil,Needle,Pholid,Petmar,Upward,Pachys,Hairli,Scabrid,Exilis,Intersp,Horseh,Ingens,Siphon,Minute,Moti,Spiral,Detach,Spicul,Nospin,Latmar,Spines,Corrug,Ocrflo,Ocrpog,Ocrlep,Ocrlae,Ocrdiv,Ocrcil,Ocrwal,Ocrpoi,Ocrpal,Ocrlon,Ocrtru,Ocrset,Ocrerin,Ocrsip,Ocrcon,Ocrgur,Ocrper,Ocrrho,Ocrjav,Ocrpse,Ocrpip,Ocrurs,Ocrrha,Flagel,Rachis,Rachil,Wooly,Racir,Pinnae,Pinsha,Divari,Insign,Hairy,Specta,Grayis,Erinac,Reddis,Tufted,Phvein,Sweptb,Proxim,Distal,Pinfew,Semelp,Rootin,Infpos,Infdae,Inflag,Infall,Infper,Inferi,Infpal,Infaru,Pedunc,Prophy,Murpro,Pedice,Piviti,Piinop,Pilobb,Pidisp,Pidimo,Pirecu,Picand,Rbcalo,Rbcera,Rbtatt,Rbpalu,Rbconi,Rbviti,Rbtubu,Rbanom,Rbplat,Rberin,Rbpogo,Rbsiph,Rbdaem,Piptos,Papery,Fimbri,Racped,Polyst,Retisp,Raclon,Ciliar,Laevig,Murica,Staord,Rblack,Starrg,Stflel,Sepals,Sepfle,Exsert,Stamen,Filame,Pisord,Ppdiva,Ridley,Tetrad,Pirasp,Cellat,Dyaped,Bracte,Pistom,Neuter,Cupula,Frshap,Perian,Scales,Dragon,Glossy,Fringe,Seeded,Attach,Renifo,Seedsu,Sarcot,Raphe,Endosp,Embryo,Frucol
C. disjunctus,,Ce. concolor,J. Dransfield,2115,BO,Ceratolobus,Indonesia,Borneo,pistillate,1.54,-1.9,115.36,115.6,150,10,1.03,10,,6,15,7,,,,,,,,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,7,0,4,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orangey brown
C. disjunctus,,Ce. concolor,J. Dransfield,2814,SING,Ceratolobus,Indonesia,Borneo,staminate,2.35,-2.58,115.32,115.53,250,6,1.09,8,,4,29,7.5,,,,,,,,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,7,0,4,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,4352,K,Ceratolobus,Indonesia,Borneo,staminate,0.3,-0.5,116.3,116.5,30,3,1.14,7,,6,18.5,6.5,,,,,,,,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,,0,4,1,1,2,2,2,1,1,1,1,1,,,1,1,1,0,0,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,4404,BO,Ceratolobus,Indonesia,Borneo,sterile,0.3,-0.5,116.3,116.5,700,,0.59,,,,14,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,4676,BH,Ceratolobus,Malaysia,Borneo,pistillate,2.55,2.91,114.24,114.4,200,8,1.06,3.7,34,5,16.5,7,,,,,3.7,,,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,7,0,4,1,1,2,2,2,1,1,1,1,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,2,1,1,0,0,1,1,1,1,2,0,1,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,4702,KEP,Ceratolobus,Malaysia,Borneo,pistillate,2.55,2.91,114.24,114.4,200,8,1.24,6,,5,13.3,8.2,,,,,,,,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,7,0,4,1,1,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,4703,K,Ceratolobus,Malaysia,Borneo,staminate,2.55,2.91,114.24,114.4,200,8,0.85,4,,5,12.7,5.3,,26.5,0.5,,,,,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,7,0,4,1,1,2,2,2,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,5294,BH,Ceratolobus,Malaysia,Borneo,staminate,4.03,4.05,114.56,114.93,800,15,0.97,1.8,36,6,16,7,,26,,,,,,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,7,0,4,1,1,2,2,2,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,5514,K,Ceratolobus,Malaysia,Borneo,pistillate,5.28,5.46,116.16,116.26,,10,1.19,2.5,,,20.7,5.7,,,,27,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. disjunctus,,Ce. concolor,J. Dransfield,5518,K,Ceratolobus,Malaysia,Borneo,?,5.27,5.45,116.02,116.03,1000,10,1.13,,,,16,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
